Tweet,Student,"Sentiment (positive, negative, or Neutral)"
clothing &amp; accessories &gt;&gt; URL 675 new unisex womens mens knit baggy beanie beret hat winter w\u2026 URL,Bryce Beckwith,neutral
rt AT_USER first day it snows and i already slip and fall on my ass.. lol i can see how this winter is going to be.,Bryce Beckwith,negative
rt AT_USER winter safety assembly AT_USER AT_USER park lane elementry AT_USER AT_USER helmet yeti ht\u2026,Bryce Beckwith,neutral
"because i really want to see what winter is about as you all love it and yet i just can't get into cinder. man, this sucks",Bryce Beckwith,negative
we are now at 70 out of 93 signed up on familyid. get it done tonight. URL \u2026,Bryce Beckwith,negative
frosty field. field frost frozen winteriscoming winter nature landscape forest photograph finland luonto\u2026 URL,Bryce Beckwith,negative
maybe i'll leave you in the coming winter and all of your dreams soon fade away. sometimes it's better just to run than to play your game.,Bryce Beckwith,negative
is this for real???????? \ud83d\ude2d\ud83d\ude2d\ud83d\ude2d\ud83d\ude2d\ud83d\ude2d\ud83d\ude22\ud83d\ude22\ud83d\ude22\ud83d\ude22 URL,Bryce Beckwith,negative
not the biggest transformation but last winter i didn't look after myself. not this year!\ud83d\udcaa\ud83c\udffc from june &amp; now URL,Bryce Beckwith,negative
AT_USER i'm not a quick rider i could do that distance but want steady short rides in winter,Bryce Beckwith,neutral
toocutetuesday! one of our endangered lowland leopard frogs enjoys a last romp across the lily pads before winter. URL,Bryce Beckwith,positive
AT_USER it's time for the winter mani! rt &amp; follow for a chance to win. ends 25th nov. t&amp;cs apply. URL,Bryce Beckwith,positive
AT_USER winter break! let's do it.,Bryce Beckwith,positive
"actually love winter big coats,winter lipsticks and just winter\ud83d\ude02\u26c4\ufe0f\u2744\ufe0f",Bryce Beckwith,positive
i need to cop a legit winter jacket. cause i ain't ready lmao,Bryce Beckwith,negative
watched on periscope: snow! dockside scope! muskoka winter. URL URL,Bryce Beckwith,neutral
rt AT_USER fallingapple cider by AT_USER now pouring - a great winter cider craftcider craftbeer lovindublin URL,Bryce Beckwith,positive
all winter does is make me hungry,Bryce Beckwith,negative
i can't wait for winter break!,Bryce Beckwith,positive
yay for our first snow of the year! snow winter frozen tree barren solo snowing URL,Bryce Beckwith,positive
check out whistles and clovers post on where to shop for the perfect winter shoes for the whole family! URL glamcrowd,Bryce Beckwith,positive
turmeric is the perfect spice for this winter. try it in our turmeric chai latte. URL,Bryce Beckwith,positive
AT_USER has closed cayuse &amp; chinook passes (srs 410 / 123) for the winter URL AT_USER -pw,Bryce Beckwith,neutral
"the first winter spirit shirt is in! $10 in the senate office! if this shirt sells out, another one will be coming\ud83d\ude09 URL",Bryce Beckwith,neutral
"photoshoot at the beach tomorrow and it's f***ing winter!!! i'm gonna die tomorrow because of money, bye.",Bryce Beckwith,negative
rt AT_USER men\u2019s winter fashion tips - URL URL,Bryce Beckwith,neutral
have you heard? we're taking a winter break trip. click here URL to stay tuned for the location! URL,Bryce Beckwith,positive
AT_USER plus the lack of distracting sun makes it easier to focus on other things. also looking forward to winter walks.,Bryce Beckwith,positive
"AT_USER browns receivers, can't catch a cold in winter!",Bryce Beckwith,negative
"rt AT_USER why tf are you taking pictures of some random ass person that's creepy as hell, and it's not even your business URL",Bryce Beckwith,negative
"ddc issues winter weather advisory valid at nov 26, 6:00 am cst till nov 27, 12:00 am cst URL",Bryce Beckwith,negative
"like summer took all his time, killed us with his hot weather then suddenly he remembers &amp; let winter take place with an extremely coldness.",Bryce Beckwith,negative
AT_USER i was just wondering if you live in minnesota and might have tix to the winter classic. that would be cool \ud83d\ude0e,Bryce Beckwith,positive
"winter storm watch for hansford, ochiltree, lipscomb, hartley, moore, hutchinson, roberts and hemphill county until 12:00pm saturday.",Bryce Beckwith,negative
rt AT_USER winter harmony is my religion,Emily Reitzel,positive
rt AT_USER is there autumn inside me i feel my self falling looking above a grey glove of cloud winter let's go a scent in the the air \u2026,Emily Reitzel,neutral
winter safety assembly AT_USER AT_USER park lane elementry AT_USER AT_USER helmet yeti URL,Emily Reitzel,positive
winter is coming. URL,Emily Reitzel,neutral
we teamed up with AT_USER to bring you previews of all the winter sports. check it out: URL URL,Emily Reitzel,positive
URL rosters for 2016 winter classic alumni game sportstap,Emily Reitzel,neutral
personalized gifts 100 new personalized winter lip balm party gift favors URL personalizedgifts,Emily Reitzel,positive
rt AT_USER best thing about winter is long dark nights for reading (and writing). URL,Emily Reitzel,positive
winter is arriving! freedomday mirabileconcept winter URL,Emily Reitzel,positive
5 tips to keep your dog safe in winter - husky lovers URL,Emily Reitzel,positive
how to sleep warm - a guide for extending your camping season into the winter URL via AT_USER,Emily Reitzel,neutral
rt AT_USER landscaping in winter URL,Emily Reitzel,neutral
AT_USER yah house market will go down for winter \ud83d\ude2c back up in the spring! woo...,Emily Reitzel,positive
"just finished this drawing of our winter pony print, inspired by the dala horse. i have a thing for swedish design \u2026 URL",Emily Reitzel,positive
refreshing winter red plaid snow time snowman snowflake shower curtain snowmen URL URL,Emily Reitzel,positive
"the high today was 58\u00b0, and i've had two cups of tea and a cup of hot chocolate. heaven help us when winter comes. notmadeforcoldweather",Emily Reitzel,negative
rt AT_USER i get very sheep-related fan mail. thank you. helps us get through the winter with a chuckle or two. URL,Emily Reitzel,positive
"makes me glad i was once a figure skater! bring it, winter! winter winterdriving sierranevada iphone6plus travelgram travels snow",Emily Reitzel,positive
rt AT_USER [info] 151124 sandro official wb update with ztao: photoshoot in london with sandro winter collection stud jacket htt\u2026,Emily Reitzel,neutral
one kind word can warm three winter months. chinese proverb URL,Emily Reitzel,positive
"new poetry from simone muench, cecily parks, barbara chase-riboud, rick barot, and deborah landau - boston review URL",Emily Reitzel,positive
christmas ghosts URL,Emily Reitzel,neutral
14 luxurious travel experiences you can have this winter URL URL,Emily Reitzel,positive
our winter's tale is all about the bard; 1st &amp; 2nd year lit students are ploughing through their plays while lang/lit-ters are starting soon,Emily Reitzel,positive
winter recital 2015! thank you to my family and friends for coming to\u2026 URL,Emily Reitzel,positive
glad i'm traveling wednesday night! yuck! have a safe holiday everyone! URL,Emily Reitzel,positive
winter time is approaching y'all bundle up,Emily Reitzel,neutral
i have a bio test tomorrow &amp; a poem to write an essay on &amp; math &amp; english homework. all i wanna do is watch jessica jones &amp; read winter,Emily Reitzel,negative
winter storm watch issued for portion of southwest iowa URL,Emily Reitzel,negative
rt AT_USER going on a tropical winter vacation? here\u2019s how to look incredible in your swimsuit: URL,Emily Reitzel,neutral
"it's winter anyway, let's just live here URL",Emily Reitzel,neutral
someone take me winter wonderland \ud83d\ude43,Emily Reitzel,positive
winter weather advisory issued november 24 at 3:22pm cst until november 28 at 6:00am cst by nws URL wxks,Emily Reitzel,negative
winter obviously URL,Emily Reitzel,neutral
"rt AT_USER from the car seat to the stroller, here's how to dress your little peanut for winter \u2014&gt; URL URL",Emily Reitzel,neutral
"rt AT_USER winteriscoming so stay warm with these delicious, healthy winter meals! sapplife organic birchwater URL",Emily Reitzel,positive
might tuff it out da whole winter,Emily Reitzel,positive
i can't wait for winter break to just stack bread.,Emily Reitzel,positive
vampsnewalbumoutfriday come to winter wonderland in edinburgh on friday and hug me thanks,Emily Reitzel,positive
"mark your calendars! the 2015 winter reunion will be on saturday, january 9th. details to follow. we hope to... URL",Emily Reitzel,positive
winter URL,Emily Reitzel,neutral
"tax consultant, tax management consulting (winter 2016 intern) URL",Emily Reitzel,neutral
where is the lie tho AT_USER URL,Emily Reitzel,negative
"AT_USER idk for sure, just know it's over winter break",Emily Reitzel,neutral
rt AT_USER stone cold is the perfect winter single. y'all know everybody could relate to this masterpiece,Emily Reitzel,positive
marks &amp; spencer top 32% off retail! risdarling fashion tradesy goals minimalist treatyoself winter christmas URL,Emily Reitzel,positive
rt AT_USER can't say other mps will recall and remember. but i'm pinning my hopes on AT_USER for suitable remembrance. URL,Emily Reitzel,positive
our latest and greatest video: how to diy a winter terrarium \ud83c\udf84\u26c4\u2744. URL URL,Emily Reitzel,positive
rt AT_USER here's to winter &gt; URL URL,Emily Reitzel,positive
first snowfall of the winter. montreal hampstead URL,Emily Reitzel,neutral
starting to feel like winter \ud83d\ude0c,Emma Gardiner,neutral
rt AT_USER 2 days till thanksgiving 7 days till december starts 25 days till winter break 31 days till christmas 38 days till new years.\u2026,Emma Gardiner,neutral
pink pink pink nailart pink barbie nails polish leopardprint animal winter wild girl AT_USER URL,Emma Gardiner,neutral
trying to stay warm at everestbasecamp everest everestnationalpark himalayas nepal teahouse winter cold lo\u2026 URL,Emma Gardiner,neutral
AT_USER AT_USER winter break is going to be hell. but new years eve \ud83d\udd25\ud83d\udd25,Emma Gardiner,negative
"rt AT_USER celia indlis, 82 -red winter coat, nvy hat, blk pnts, blk knee boots, brown purse anyone with info 416 808-1100 ^dh http\u2026",Emma Gardiner,neutral
just some our winter collection in stock now.and yes those are cute bling gifts greatness URL URL,Emma Gardiner,positive
duncan taylor scotch whisky is proud to be present at the pasadena rusnak maserati for this years italian winter... URL,Emma Gardiner,positive
"black superfine wool metallic winter yarn, fingering, baby, ice yarn. crochet, knit... URL etsy mettalicblack",Emma Gardiner,neutral
i finally got my parajumper winter jacket,Emma Gardiner,positive
can tell this is gonna be a roly poly winter \ud83d\udc33\ud83d\udc0b\ud83d\udc33\ud83d\udc0b\ud83d\udc33\ud83d\udc0b\ud83d\udc33,Emma Gardiner,positive
winter nights\u2728,Emma Gardiner,neutral
"with winter snows approaching, the lee's summit firefighters would like to ask you to help us in getting to you... URL",Emma Gardiner,neutral
rt AT_USER olafur eliasson's 'baroque baroque' opens at the winter palace in vienna URL URL,Emma Gardiner,neutral
germany faces \u2018upsurge\u2019 in refugee numbers this winter URL,Emma Gardiner,neutral
winter's here! panoramic of lake AT_USER home of the AT_USER wildliferesearch station \u2661 URL,Emma Gardiner,neutral
AT_USER your winter large candle looks immense! \ud83d\ude0a\u2764\ufe0f\ud83c\udf84,Emma Gardiner,positive
columbia women waterproof winter omni-heat jacket coat parka s m black new ski at tactical gear zone -&gt; URL columbia\u2026,Emma Gardiner,neutral
walked through from our cottage to the hotel to find all sorts of winter cosiness happening inside \u2728\u2026 URL,Emma Gardiner,positive
i appreciate the winter classic/stadium series jerseys.,Emma Gardiner,positive
you can help fill a backpack for AT_USER to keep families w/out a home warm this winter: URL URL,Emma Gardiner,positive
AT_USER that's insane!! i live in rural bc &amp; pay @ $200/mo. in the winter for a 2 lvl. home with a hot tub...,Emma Gardiner,negative
AT_USER AT_USER and just before the start of parliament winter session! indeed...very well timed,Emma Gardiner,positive
rt AT_USER introducing a new winter culinary event \u2013 january 21-24 AT_USER URL,Emma Gardiner,neutral
"rt AT_USER florida during the \""winter\"" means have a sweater in the morning but be prepared to take it off in the afternoon when it's\u2026",Emma Gardiner,negative
ok ladies!!! the winter colors for the layered skirt is ready for pre~order!! they have been added to the... URL,Emma Gardiner,neutral
rt AT_USER can tell this is gonna be a roly poly winter \ud83d\udc33\ud83d\udc0b\ud83d\udc33\ud83d\udc0b\ud83d\udc33\ud83d\udc0b\ud83d\udc33,Emma Gardiner,positive
"sigh. warm weather in winter kswx months is a blessed curse. nice today, but on it's heels shall follow freezing rain/ice/snow in ks!",Emma Gardiner,neutral
rt AT_USER latest snowfall estimates for winter storm watch valid nov 24 5pm - nov 26 11am orwx idwx URL,Emma Gardiner,neutral
rt AT_USER deff coppin a shawty for the winter....hopefully its u\ud83d\udc40,Emma Gardiner,positive
rt AT_USER preparations for winter food festival! fabulous food &amp; xmas treats available between 2-3pm december 2nd! URL,Emma Gardiner,positive
literally live in fuzzy socks during the winter,Emma Gardiner,neutral
"you can still wear crop tops in the winter time, right?",Emma Gardiner,neutral
rt AT_USER 7 autumn/winter knitwear trends to try now: URL URL,Emma Gardiner,neutral
.AT_USER announces winter premiere dates: URL pll thefosters freeform,Emma Gardiner,neutral
rt AT_USER in love with winter \ud83d\udc99\ud83c\udf27 URL,Emma Gardiner,positive
rt AT_USER winter bulk URL,Emma Gardiner,neutral
"rt AT_USER \""pink winter\"". i used a pieced block i made a while ago as the tag for the back of my quilt. URL",Emma Gardiner,neutral
rt AT_USER frozen yogurt places should switch over to mashed potato bars in the winter.,Emma Gardiner,neutral
rt AT_USER japanese dairy market: butter prices may hit record levels this winter URL URL,Emma Gardiner,negative
"rt AT_USER lil bro AT_USER new blk/blk [nothing] cap ting for winter on road, cop it! URL URL",Emma Gardiner,positive
how can you go through life not stopping to think about how others are gonna freeze this winter having no home or stability like we have,Emma Gardiner,negative
croft &amp; barrow top 28% off retail! risdarling fashion tradesy goals minimalist treatyoself winter christmas URL,Emma Gardiner,neutral
what if your favorite thing about fall/winter? iheartshawnandcamila,Emma Gardiner,positive
"rt AT_USER [ fanart ] kaisoo kadi \""winter with you\""~ exofanart URL",Emma Gardiner,neutral
see my glasses? 99.8 percent of the reason i hate winter right there. URL,Emma Gardiner,negative
feeling the effects of the winter blues? we've got a light for that. beatsad dontneedtohibernate URL,Emma Gardiner,positive
"how can anyone like winter,it's like the worst selfie season ever the lighting is atrocious n i feel like a robot with the amount of layers",Emma Gardiner,negative
"many nh ski areas plan to open this week: although old man winter has been slow to arrive, the state's ski areas\u2026 URL",Emma Gardiner,neutral
"we're stocked with everything you need to stay warm this winter! we've got sweatshirts, sweatpants, long sleeves and more! open til 7 tonite",Emma Gardiner,neutral
the fastest lap of day 2 on the supercross track at winter olympics 2015 was austin forkner in the 450 pro sport class with a time of 52.518,Geoff Welsher III,neutral
"rt AT_USER winter driving made easy.... \""when you see snow...go slow!\"" yup, it's that simple. not kidding. try it. it works. pas\u2026",Geoff Welsher III,positive
the dilemma facing syrian refugees: the journey for refugees is more perilous than ever as winter sets in across\u2026 URL,Geoff Welsher III,negative
"deals 2008 nhl winter classic, buffalo, ny sabres &amp; penguins program &amp; 2 tickets URL tfbjp URL",Geoff Welsher III,neutral
rt AT_USER amsterdam in the winter \ud83c\udf28\ud83c\udfda\u2744\ufe0f URL,Geoff Welsher III,neutral
AT_USER oh fabby \ud83d\ude0a winter walks wrapped up are great \ud83d\ude0a x,Geoff Welsher III,positive
ready to lace up those skates? URL,Geoff Welsher III,neutral
AT_USER it will go up in winter upgrades,Geoff Welsher III,neutral
what a winter day. warming up nicely with the local crew... girona URL,Geoff Welsher III,positive
"rt AT_USER we have over $12,000 offered on our black ops 3 winter ladders on URL ! head over there and start grind\u2026",Geoff Welsher III,positive
AT_USER AT_USER everything is worse in winter months,Geoff Welsher III,negative
"AT_USER ive been waiting for this all winter thank god , 2016 world champions",Geoff Welsher III,positive
rt AT_USER i need to visit chicago in the winter time \ud83d\ude4c\ud83c\udffc\u2744\ufe0f URL,Geoff Welsher III,neutral
casual v-neck hollow out loose pullover autumn winter crochet knitted sweater no vneck URL,Geoff Welsher III,neutral
"rt AT_USER and nzs intake wont arrive until january. government speaks big at un, shows little to no concern since. shame. URL",Geoff Welsher III,negative
rt AT_USER come to our winter concerts 50% of proceeds of new cd dedicated AT_USER singyourheartout charitytuesday htt\u2026,Geoff Welsher III,positive
AT_USER AT_USER i just want to live somewhere where i don't have to put winter tires on my car,Geoff Welsher III,negative
hate winter! freezing my nuts off at work \ud83d\ude2d\ud83d\ude31,Geoff Welsher III,negative
rt AT_USER it\u2019s not winter without a warm vest to layer on! rt for a chance to win this gift. kohlssweepstakes blackfriday URL,Geoff Welsher III,positive
rt AT_USER winter themed resources for early years &gt;&gt; URL \u2744 \u26c4 \u2744 \u26c4 \u2744 \u26c4,Geoff Welsher III,neutral
&gt; level 7 presents: nadine [winter series 001] by level 7 records URL on soundcloud,Geoff Welsher III,neutral
relief for you winter dry skin is here! URL URL,Geoff Welsher III,positive
rt AT_USER my winter 2015 shirt is now available till dec 7. after this campaign they will not be available again! URL,Geoff Welsher III,positive
rt AT_USER i wanna hike to a hot spring this winter \ud83c\udf32,Geoff Welsher III,positive
AT_USER this you everyday \ud83d\ude02 URL,Geoff Welsher III,neutral
all bb dakota winter coats are 20% off during blackfriday and smallbusinesssaturday. shopsmall with us! URL,Geoff Welsher III,positive
rt AT_USER today the first snow flakes fell in serbia. winter is here and the balkans route is infinitely more miserable. URL,Geoff Welsher III,negative
great line-up of performers for AT_USER next retro radio hour! URL,Geoff Welsher III,positive
rt AT_USER a beautiful evening sunset over winter hill bolton. taken a couple of weeks ago URL,Geoff Welsher III,positive
rt AT_USER winter has arrived &amp; what better way to warm up than with this stew recipe from AT_USER winterwarmer URL,Geoff Welsher III,positive
street winter trap life !!! gear up or go broke in the north !!! no designer wear on these blocks !!\u2026 URL,Geoff Welsher III,positive
"gentle reminder that my comic is on winter hiatus, but now's a great time to catch up if you wanna!!",Geoff Welsher III,positive
1 adult nfl\u00ae new era\u00ae san diego chargers retro winter fresh pom-top\u2026 URL football fans URL,Geoff Welsher III,neutral
URL - history and holiday mix at 16th annual winter celebration on dec. 5 at jacksonville's... URL,Geoff Welsher III,neutral
how to make a great impression on employers? find it out in our winter course canadian workplace culture\u00a0\u00a0URL,Geoff Welsher III,neutral
rt AT_USER winter is coming. but so is anti. URL,Geoff Welsher III,neutral
this break will be good practice for the withdrawal that will happen over winter break... whyamifriendswithpeoplefromoutofstate,Geoff Welsher III,negative
excited to put the christmas decorations up next week \ud83c\udf84\ud83c\udf85\ud83c\udffc\ud83d\ude04 feelingchristmassy december winter christmas christmasdecorating,Geoff Welsher III,positive
i just entered to win a free pair of shoes from AT_USER (arv $50) christmas2015 AT_USER URL,Geoff Welsher III,positive
"in case you've thought that you don't feel as old as you are, just go do a \""winter cleanup\"" on your yard for about 3 hours. you'll feel it.",Geoff Welsher III,negative
let's get this winter started :)!!! URL,Geoff Welsher III,positive
the winter's tale: a comedy william shakespeare - joe books. URL,Geoff Welsher III,neutral
rt AT_USER it's time for the winter mani! rt &amp; follow to win our nail art tool kit. ends 25th nov. t&amp;cs. URL etr,Geoff Welsher III,neutral
may everyone feel as mighty as a zebra's shadow on a winter day. \ud83d\ude4f URL,Geoff Welsher III,positive
rt AT_USER trying to winter even though it's hot af. help me get naked! URL URL,Geoff Welsher III,neutral
doing winter track might be one of the worst decisions i've ever made,Geoff Welsher III,negative
rt AT_USER from AT_USER to AT_USER our ultimate guide to this winter's must-see new movies: URL https:/\u2026,Geoff Welsher III,positive
pink dress ofwinter socute URL,Geoff Welsher III,neutral
winter storm watch for portions of the area in ok until 12:00pm cst saturday. okwx,Geoff Welsher III,neutral
rt AT_USER AT_USER needs volunteers for the camden holiday parade &amp; winter wonderland celebration on dec 10. URL,Geoff Welsher III,neutral
"AT_USER AT_USER spot on! training for AT_USER dua, bit of cx messing. prob catch you at winter league or pool? :)",Grace Merrick,positive
beautiful infinity scarf by cashmerebeach URL via AT_USER winter chunkyknits etsy,Grace Merrick,positive
longbrown#hair#studentslife#student#olomouc#winter#blackandwhite#smile by ivon_k URL,Grace Merrick,neutral
"rt AT_USER t'was great thanks t'our director AT_USER reaction?the reason we do it.the money,exposure,more work,love ht\u2026",Grace Merrick,positive
"rt AT_USER winter weather advisory issued for albany, carbon, converse and platte counties wywx URL",Grace Merrick,negative
"just realized all my winter clothes are black, dark blue, and grey. i literally have no color in my closet",Grace Merrick,negative
rt AT_USER new york city is like no other! nyc winter URL,Grace Merrick,positive
rt AT_USER AT_USER is this your autumn winter fragrance?? URL,Grace Merrick,neutral
winter ball notes: long wraps up strong showing in venezuela - lohud yankees blog (blog) URL,Grace Merrick,neutral
rt AT_USER in love with this look! icy for winter \u2744\ufe0f bluehair greyhair upgrade your locks with our crazycolours URL,Grace Merrick,positive
boxed up for the winter yet ???,Grace Merrick,neutral
nov. aircurrents are here! our experts discuss europe winter storms &amp; wind vulnerability in single-family houses URL,Grace Merrick,negative
rt AT_USER it's that time of year again. a great guide on what to do this winter - URL lovescotland,Grace Merrick,positive
"rt AT_USER a winter weather advisory has been issued for south-central ks, including sedgwick county in effect from 6pm thursday to 6am \u2026",Grace Merrick,negative
need to warm up this winter? use this easy breathing technique to get warm faster! URL,Grace Merrick,positive
"have you heard? our blackfriday sale is on now! save up to 40% on booties, linerz, mittz and winter bootz! shop now URL",Grace Merrick,positive
rt AT_USER baby it's cold outside \u2744\ufe0f snow winterishere winter christmas \ud83c\udf81 cute red christmas candles smellssogood URL,Grace Merrick,positive
rt AT_USER cheap milwaukee flights to minneapolis (msp) $210 rt : flights from milwaukee: fall/winter\u2026 URL,Grace Merrick,neutral
AT_USER AT_USER the holby city short winter preview,Grace Merrick,neutral
rt AT_USER great winter setting for the great alaska shootout. AT_USER AT_USER with their first game tomorrow at 11:00 pm. htt\u2026,Grace Merrick,positive
rt. 3 winners!win mongolian stool &amp; 2 rabbit cushions AT_USER &amp; AT_USER URL URL,Grace Merrick,positive
undefined: going 2 b a cold winter. i dread it. it's the moisture that makes my old bones ache. (live at URL,Grace Merrick,negative
rt AT_USER winter ball is gonna be so s***e this year compared to last,Grace Merrick,negative
rt AT_USER exo to comeback next month with winter special album; nearly finished with the preparations URL https:\u2026,Grace Merrick,positive
AT_USER do you think this winter will be snowy,Grace Merrick,neutral
winter park colorado. it's our 75th bday this year. come help us celebrate. welovewinter URL,Grace Merrick,positive
it's that time of year \ud83d\ude0d winter snow beauty christmas love beautiful URL,Grace Merrick,positive
rt AT_USER christmas winter bunnies card by legift URL via AT_USER,Grace Merrick,positive
"i struggle with the holidays. plus my depression and anxiety heighten during the winter months. pray for me, and the many others like me. &lt;3",Grace Merrick,negative
rt AT_USER we are open at the southbank winter market everyday till christmas eve. find us by the roller disco. scwinter https:/\u2026,Grace Merrick,neutral
check out the givingtuesdaynm opportunities on AT_USER URL,Grace Merrick,neutral
officially playing court volleyball with AT_USER all winter! excited! need to dig up my ol' knee pads...\u263a\ufe0f,Grace Merrick,positive
rt AT_USER free winter ice beauty box for new julep\u00a0mavens! URL URL,Grace Merrick,positive
rt AT_USER and today........ winter is coming..... xx AT_USER stainedglass winter URL,Grace Merrick,neutral
thanks for sharing AT_USER check out her AT_USER essentials for winter! URL,Grace Merrick,positive
need another winter coat,Grace Merrick,negative
rt AT_USER 808s &amp; heartbreak is the epitome of a classic winter album. \ud83c\udf2c\ud83d\udcbd\u26c4\ufe0f,Grace Merrick,negative
winter storm warning issued november 24 at 12:21pm akst until november 25 at 5:00am akst by nws URL wxak,Grace Merrick,neutral
AT_USER winter break we're going to an episode of jerry springer,Grace Merrick,positive
magical lights and a christmas vibe at kew gardens. highly recommended for a winter evening outing christmasatkew URL,Grace Merrick,positive
rt AT_USER yea if you wanna freeze ya balls off URL,Grace Merrick,negative
rt AT_USER \ud83c\udf41\ud83c\udf42\ud83c\udf41\ud83c\udf42\ud83c\udf41\ud83c\udf42\ud83c\udf41\ud83c\udf42 4 days to thanksgiving\ud83c\udf74\ud83c\udf57 9 days to december\u2744\ufe0f\u26c4\ufe0f 33 days to christmas\ud83c\udf85\ud83c\udf84 40 days to new year\ud83c\udf88\ud83c\udf89 \u26c4\ufe0f\u2744\ufe0f\u26c4\ufe0f\u2744\ufe0f\u26c4\ufe0f\u2744\ufe0f\u2026,Grace Merrick,neutral
rt AT_USER what a cold day in newburtport! winter has arrived. come \ud83d\udd25warm up\ud83d\udd25 tonight at 6:30 with some hot power yoga! namaste\u2026,Grace Merrick,positive
rt AT_USER lots of snow in the next 24 hours. AT_USER shows you what to expect from winter storm cara URL,Grace Merrick,negative
rt AT_USER .AT_USER winter 2016/17 flights &amp; holidays are now on sale! book now for the best prices: URL https:\u2026,Grace Merrick,positive
i'm opting out of winter.,Grace Merrick,negative
"winter weather advisory - county(s), mt until 11/25/15 12:00pm (cdt) mtwx more AT_USER URL",Grace Merrick,negative
must be these short days of winter. it's really cold too! i hope the animals in the forest can survive.,Grace Merrick,negative
"ama issues winter storm watch valid at nov 26, 6:00 pm cst till nov 28, 12:00 pm cst URL",Grace Merrick,neutral
"rt AT_USER meteorological winter starts next week, but was looking a bit cold and snowy over loch turret on saturday past... https:\u2026",Grace Merrick,negative
winter night is so long,Jai Yeong Koh,negative
rt AT_USER AT_USER not blackfriday but smallbizsatuk in the meantime i have a giveaway. URL URL,Jai Yeong Koh,neutral
rt AT_USER dior fall/winter 2015 URL,Jai Yeong Koh,neutral
"graduate development program (gdp) (winter/spring), new york, newyork, ny URL job hiring",Jai Yeong Koh,neutral
rt AT_USER there is a special place in hell for whoever thought the sjv winter uniforms were a good idea,Jai Yeong Koh,negative
beauty:\u26a1\ufe0f how to deal with dry winter hair: how to deal with dry winter hair. it\u2019s that... URL \u26a1\ufe0fAT_USER,Jai Yeong Koh,neutral
here is the link to the latest winter weather outlook. wawx URL,Jai Yeong Koh,neutral
rt AT_USER win a hot toffee apple toddy kit! to enter just rt &amp; follow. AT_USER winter competition 3 kits up for grabs! https\u2026,Jai Yeong Koh,positive
gianni bini dress 45% off retail! risdarling fashion tradesy goals minimalist treatyoself winter christmas URL,Jai Yeong Koh,positive
people in alaska\ud83d\ude02\u2665\ufe0f URL,Jai Yeong Koh,neutral
rt AT_USER 6 things to do in toronto during the winter URL blogging toronto canada winter travelling,Jai Yeong Koh,positive
"next week we will crop tour ukraine to assess pre-winter crop condition, details of how to subscribe &amp; follow.. URL",Jai Yeong Koh,positive
AT_USER tuesdayshoeday win keep my feet looking good this winter xxx,Jai Yeong Koh,positive
check out casual v-neck hollow out loose pullover autumn winter crochet knitted sweater no URL via AT_USER,Jai Yeong Koh,positive
rt AT_USER keep your feet dry with a pair of our boots perfect for wet days! - URL rain winter URL,Jai Yeong Koh,positive
i need to get myself a bruins winter classic jersey,Jai Yeong Koh,neutral
rt AT_USER oh ya winter is here...thanks plowing crew for working on our neighborhood today canmore peaksofgrassi URL,Jai Yeong Koh,positive
rt AT_USER winter in new york city \ud83d\uddfd\ud83d\uddfd URL,Jai Yeong Koh,neutral
good ol winter day selfie selfiesomething yycliving yyc calgary life blessed gratitude\u2026 URL,Jai Yeong Koh,positive
"rt AT_USER i'm defo going winter wonderland this year, i'll go on my own if i have too",Jai Yeong Koh,positive
rt AT_USER falls cool n s*** until the leaves are all gone and everything's naked but you still have a month until winter,Jai Yeong Koh,negative
AT_USER i thought it felt lighter. looks i'm down an m12 &amp; functional heated jacket this winter. poorquality URL,Jai Yeong Koh,negative
"ah yes winter is coming. gimme all the knit wear, hot cups of tea, a new account on ever dating website, missing people i haven't met yet.",Jai Yeong Koh,negative
yea she must be really warm wearing those invisible pants URL,Jai Yeong Koh,negative
new autumn european fashion women winter knitting dress brief stile # URL,Jai Yeong Koh,positive
*special art display event resident artist vicki federico will be exhibiting her original winter snowmen... URL,Jai Yeong Koh,neutral
do you prefer winter or summer?? iheartshawnandcamila,Jai Yeong Koh,neutral
"rt AT_USER three deaths linked to winter storm in oklahoma, thousands without power URL",Jai Yeong Koh,negative
\u266c jbm - winter ghosts \u266c URL nowplaying,Jai Yeong Koh,negative
the city is so amazing during the winter holidays i love it,Jai Yeong Koh,positive
no excuses. getoutandride \ud83d\ude00 URL,Jai Yeong Koh,positive
"AT_USER \ud83d\ude12 no.... just no. winter would have been fine without this \""snow",Jai Yeong Koh,negative
when you spill a full glass of ice cold water on yourself in the winter and it's no ones fault but alyssa's,Jai Yeong Koh,negative
"get $20 off your lyft ride w\\ promo code \""aris938912\"" winter coupon lyft 307",Jai Yeong Koh,positive
"i love winter but honey, can you wait a week or too? i need to go buy some warm shirts",Jai Yeong Koh,negative
rt AT_USER feeling pretty chipper about the whole winter being over thing URL,Jai Yeong Koh,negative
"on page 324 of 827 of winter, by marissa meyer: \""but the sight before her was proof that ... URL",Jai Yeong Koh,negative
rt AT_USER beautiful \u2764\ufe0f URL,Jai Yeong Koh,positive
ans winter meeting 2015: nuclear energy and ghg emissions. URL,Jai Yeong Koh,neutral
"just reduced!!! 3bd/3ba + office and winter views!!! $239,900!!! URL",Jai Yeong Koh,positive
this warms me for the coming winter URL,Jai Yeong Koh,positive
